release,pilot_id,sentence_id,source_sha256,sample_role,selection_stratum,source_name,up_votes,down_votes,token_count,primary_order,reviewer_order,selection_seed,algorithm_version
cv-corpus-26.0-2026-06-12,PILOT-0001,0281b664996c8803ade40c07014a362ca3ee52f7d22291b9300f9e16ee1cc77c,cf9c375c22e3fc9450fbc3d373f9962b28beeaf683ec4218e6d22e5b85b2a223,pilot_development_only,natural_random,Sentences attained from African WordNet.,0,0,9,185,15,42,pilot_v1_natural150_coverage50
cv-corpus-26.0-2026-06-12,PILOT-0002,0416d7c5f9e1899ac761322014f7a0186a354ce6b1d666453345d33a4aaee089,a89cfbfbc3103c075c0045ad4a92b0f276b37482b7f1cb2aed963e5928a72ec9,pilot_development_only,natural_random,*.gov.za,0,0,9,146,185,42,pilot_v1_natural150_coverage50
cv-corpus-26.0-2026-06-12,PILOT-0003,05280ba6ec3747ba8c70fbdcae4c5305c96f8ed213691d9bf31da6d21e30c030,27350bf1fa8f29767010199f01d0e2a75ba235491ddbd50f0834de96ba62244f,pilot_development_only,natural_random,*.gov.za,0,0,12,162,52,42,pilot_v1_natural150_coverage50
cv-corpus-26.0-2026-06-12,PILOT-0004,08b897bfb0105b85d2d72650f0bdf541465f93f971ff35087beb2eaecb9d34a8,7ada9f166238cf8463618dc012e119033f246a623d1a65887e60192827e06d4d,pilot_development_only,coverage_downvoted,*.gov.za,1,1,7,42,78,42,pilot_v1_natural150_coverage50
cv-corpus-26.0-2026-06-12,PILOT-0005,098e401537b636b73117b69bd1c6e570499f5d0c3a5e0c6c8c688182b75333eb,37c0f52896b7b07aa0f3f10f8d5d1b444ea874088d10cd334c45bd00e6945236,pilot_development_only,natural_random,*.gov.za,0,0,11,143,14,42,pilot_v1_natural150_coverage50
cv-corpus-26.0-2026-06-12,PILOT-0006,0cef4d63c75772c7bb05057458eac8155f1c7af7f3bdc584e9a96a19bcaa25e3,7909a9e12b764cedfc1370bffb44d82be37e0632d32a00263c30a40090ebe3e5,pilot_development_only,natural_random,Sentences attained from African WordNet.,0,0,7,57,112,42,pilot_v1_natural150_coverage50
cv-corpus-26.0-2026-06-12,PILOT-0007,0d427528197ae2be55130d3f62839a98efe69423222d259a35e18caadfc206a7,f34b1c4fe8d322983c75de7a3163aa3b55a747c9c2a46e4919481afad9dcc6f7,pilot_development_only,coverage_non_gov_source,The Write It project at the North-West University,0,0,12,132,69,42,pilot_v1_natural150_coverage50
cv-corpus-26.0-2026-06-12,PILOT-0008,0dd4b83f8666bc8edac48ae8017a9846d36a615ac68c94c17a768fed160fe7c9,f59c7cf5db83c6afff5ba723938273487ad7d3d17a9a8c6e72d64d73e6eb940d,pilot_development_only,coverage_short,Peace Corps Puo Ea Sechaba,0,0,2,159,127,42,pilot_v1_natural150_coverage50
cv-corpus-26.0-2026-06-12,PILOT-0009,105b502d6a9046768dc173b867fe8fc53f2bf9e257191fc54d4c57cf525818f2,f5b9153e57c8dec3e08f3adb0788ea3e41158fe45fe4c76be08d5fe0cac35789,pilot_development_only,natural_random,Peace Corps Puo Ea Sechaba,0,0,7,23,99,42,pilot_v1_natural150_coverage50
cv-corpus-26.0-2026-06-12,PILOT-0010,125f008f793be9993e4c79a301ae2a8a2332f6094af87c6bc0c212bf5ddc0e1a,fc144d9e2d3d142479a728607caf06e09de0b2ef1b635d6ad4a069f0e00eed5c,pilot_development_only,natural_random,*.gov.za,0,0,9,19,67,42,pilot_v1_natural150_coverage50
cv-corpus-26.0-2026-06-12,PILOT-0011,13bfc0a0bca724427f3512dcf835540a9638602d9ec11dfdc246379a888b1a4d,0cf66779540300b8b04933a47c0bba3d0f19dec48e5273d8c41640a6adc35ae4,pilot_development_only,natural_random,*.gov.za,1,0,8,49,58,42,pilot_v1_natural150_coverage50
cv-corpus-26.0-2026-06-12,PILOT-0012,14ba5a876c68548022fc56ccda7c3adc1e58e8d06b8beb21af7ef6ddb87e068b,0482d2ab010a8c2479f661da74fd2c4743ec301b093f020b380726a8e7122cc3,pilot_development_only,natural_random,*.gov.za,0,0,11,168,17,42,pilot_v1_natural150_coverage50
cv-corpus-26.0-2026-06-12,PILOT-0013,1932e9924ab09e3c99f9be1e9e091bb26ae654812dcdbe44d5295958a68c54d2,fb6827426fd9e2e6e342d23b3ae5558460452fd74621f89deab7c8e8372e191c,pilot_development_only,coverage_non_gov_source,Peace Corps Puo Ea Sechaba,0,0,4,180,150,42,pilot_v1_natural150_coverage50
cv-corpus-26.0-2026-06-12,PILOT-0014,1a1a468c6d2b224ee996b558e870c0164edf5345a6a1b431526a3072846de4d7,1c5a21f91442737f8abcd4d4ec6e9aca1e10f6c32f84a211335fb981f3589004,pilot_development_only,coverage_downvoted,*.gov.za,0,1,8,135,154,42,pilot_v1_natural150_coverage50
cv-corpus-26.0-2026-06-12,PILOT-0015,1b00192308297773e25b704b136a124e4ee3e57c4f963b306c4063dbb3c82180,adc9618cb91bd311b536728d0b6db39e5bde12b3cf160d65a60bfacae446a91a,pilot_development_only,coverage_short,Sentences attained from African WordNet.,0,0,2,181,144,42,pilot_v1_natural150_coverage50
cv-corpus-26.0-2026-06-12,PILOT-0016,1c16d1d345a882a9e5f11cd2a5b64dec508dcb998312fdad53f12e6580113762,91a57fe4f24eaf6925b796816771a64df13fadb1c80fa714a66c7a146aee454c,pilot_development_only,natural_random,Sentences attained from African WordNet.,0,0,10,106,166,42,pilot_v1_natural150_coverage50
cv-corpus-26.0-2026-06-12,PILOT-0017,1cac1c528aad817f56e755acbe1b8062285c78d1c4d67433a22c31faaf444e00,e75f8a20082045194ca9f70e68a0991cfc161630b1b770de594e71a148398303,pilot_development_only,natural_random,*.gov.za,0,0,13,109,163,42,pilot_v1_natural150_coverage50
cv-corpus-26.0-2026-06-12,PILOT-0018,1cb417fd6cab384b0840d9e278d2e591dab9831f7defc9873333089c5bdf9789,a3ca3640a6acd9ee54da2365f7b93352e09ea66585fb1f8122aa873081abb194,pilot_development_only,natural_random,*.gov.za,1,0,10,141,121,42,pilot_v1_natural150_coverage50
cv-corpus-26.0-2026-06-12,PILOT-0019,1cefd6dbc4f7cd16fd19ac87e67c7259eb0e05aaef7643614dba15b91aaf97e5,2fe20bcd36bc0436a10750c0ed1f07fb58247204c7a567f52beeadec5a24f630,pilot_development_only,coverage_non_gov_source,Sentences attained from African WordNet.,0,0,14,91,191,42,pilot_v1_natural150_coverage50
cv-corpus-26.0-2026-06-12,PILOT-0020,1e17b109d4c54d955768a444574208d38043455ac12dbaa5d0afb68901bed96c,6c5abd27e8acd463e8ab6b01d093e4fe97fada50547adc90d619b54ff2a17fa2,pilot_development_only,natural_random,*.gov.za,0,0,14,190,2,42,pilot_v1_natural150_coverage50
cv-corpus-26.0-2026-06-12,PILOT-0021,1f00353a82d8f14ccd4a0ffc3305f73255a80a2b9edd5d2a3530b3042dba3fd2,09da4f00a06973693b785337df604324a4e73183b4373f032f5d3eec9056e35c,pilot_development_only,natural_random,Peace Corps Puo Ea Sechaba,0,0,3,142,169,42,pilot_v1_natural150_coverage50
cv-corpus-26.0-2026-06-12,PILOT-0022,20208fa2c8ee64c0ea65e3ef8a979668379f26e426f18410237aee018f40b22e,2c34699e35ee2c7444a999062573ef5cf85ef5ff9169b7c94d07fc182f0f6679,pilot_development_only,natural_random,*.gov.za,0,0,12,117,151,42,pilot_v1_natural150_coverage50
cv-corpus-26.0-2026-06-12,PILOT-0023,2145f06513b70359ec5a661b2cf0ce1d56f95b06bb99bfefc3e665a3ca4b71bc,f5e6bc97243c40afc3724b1bfd73b2d9c379380cbcf067f0dffe61bbcea67f1e,pilot_development_only,coverage_non_gov_source,Sentences attained from African WordNet.,0,0,6,75,76,42,pilot_v1_natural150_coverage50
cv-corpus-26.0-2026-06-12,PILOT-0024,2226d8c591e42c10175487f2b396bd4bb50aeb2d5e94d0d976a4c38961c7aae2,0595f41e070fcf7cad8468161cb36be4eb620165d64a2e1bca755d38e0b35308,pilot_development_only,natural_random,*.gov.za,0,0,12,114,105,42,pilot_v1_natural150_coverage50
